dataset,method,rank,best_nfr,baseline_acc
kc2,selective_distill,5,0.05986492808267002,0.7968421052631578
kc2,baseline,6,0.07403186600965321,0.7968421052631578
kr-vs-kp,selective_distill,1,0.007486597420194735,0.9110918544194109
kr-vs-kp,projected_gd,2,0.012814990595649353,0.9110918544194109
kr-vs-kp,fixed_anchor,3,0.013232171266049794,0.9110918544194109
kr-vs-kp,bcwi,4,0.016170998208707085,0.9110918544194109
kr-vs-kp,confidence_drop,5,0.027779292735146222,0.9110918544194109
kr-vs-kp,baseline,6,0.028045512436021564,0.9110918544194109
madelon,selective_distill,1,0.22638250883133723,0.573076923076923
madelon,fixed_anchor,2,0.23444856973323458,0.573076923076923
madelon,confidence_drop,3,0.2380624538109748,0.573076923076923
madelon,baseline,4,0.24537999045678527,0.573076923076923
madelon,projected_gd,5,,0.573076923076923
madelon,bcwi,6,,0.573076923076923
mushroom,confidence_drop,1,0.0002973480248057512,0.9853825136612022
mushroom,bcwi,2,0.0008932150349056139,0.9853825136612022
mushroom,selective_distill,3,0.0009653477324354575,0.9853825136612022
mushroom,fixed_anchor,4,0.0009681257601047974,0.9853825136612022
mushroom,projected_gd,5,0.0013393290286328528,0.9853825136612022
mushroom,baseline,6,0.0014872553109003042,0.9853825136612022
ozone-level-8hr,selective_distill,1,0.02787789121386945,0.8474835886214442
ozone-level-8hr,fixed_anchor,2,0.03431279674559111,0.8474835886214442
ozone-level-8hr,baseline,3,0.0766053096971723,0.8474835886214442
ozone-level-8hr,confidence_drop,4,0.08482028222675167,0.8474835886214442
ozone-level-8hr,projected_gd,5,,0.8474835886214442
ozone-level-8hr,bcwi,6,,0.8474835886214442
pc1,fixed_anchor,1,0.05041120673315487,0.8447761194029851
pc1,selective_distill,2,0.05047340669731561,0.8447761194029851
pc1,baseline,3,0.11699303811890782,0.8447761194029851
pc1,confidence_drop,4,0.1241413359902449,0.8447761194029851
pc1,projected_gd,5,,0.8447761194029851
pc1,bcwi,6,,0.8447761194029851
pc3,fixed_anchor,1,0.042146961102469266,0.8208480565371025
pc3,baseline,2,0.09841829667851809,0.8208480565371025
pc3,confidence_drop,3,,0.8208480565371025
pc3,selective_distill,4,,0.8208480565371025
pc3,projected_gd,5,,0.8208480565371025
pc3,bcwi,6,,0.8208480565371025
pc4,projected_gd,1,0.022385053647912205,0.8128787878787879
pc4,bcwi,2,0.02289380833765274,0.8128787878787879
pc4,fixed_anchor,3,0.07404596588334586,0.8128787878787879
pc4,baseline,4,0.11519656003095861,0.8128787878787879
pc4,confidence_drop,5,0.1214880496726373,0.8128787878787879
pc4,selective_distill,6,,0.8128787878787879
phoneme,selective_distill,1,0.06861065670768826,0.7640657084188912
phoneme,fixed_anchor,2,0.09266868372883072,0.7640657084188912
phoneme,confidence_drop,3,0.132651883572699,0.7640657084188912
phoneme,baseline,4,0.16629770971132454,0.7640657084188912
phoneme,projected_gd,5,,0.7640657084188912
phoneme,bcwi,6,,0.7640657084188912
qsar-biodeg,fixed_anchor,1,0.07390005415596887,0.8146596858638743
qsar-biodeg,selective_distill,2,0.10002500107325366,0.8146596858638743
qsar-biodeg,baseline,3,0.10432507542079668,0.8146596858638743
qsar-biodeg,confidence_drop,4,0.10455848355180178,0.8146596858638743
qsar-biodeg,projected_gd,5,,0.8146596858638743
qsar-biodeg,bcwi,6,,0.8146596858638743
sonar,projected_gd,1,0.0412010582010582,0.6897435897435897
sonar,confidence_drop,2,0.15543233082706767,0.6897435897435897
sonar,fixed_anchor,3,0.1660843776106934,0.6897435897435897
sonar,selective_distill,4,0.16747981063770537,0.6897435897435897
sonar,baseline,5,0.1810670426065163,0.6897435897435897
sonar,bcwi,6,,0.6897435897435897
spambase,projected_gd,1,0.004659682245054806,0.9199034981905913
spambase,bcwi,2,0.009799600150136163,0.9199034981905913
spambase,fixed_anchor,3,0.011144173284880734,0.9199034981905913
spambase,selective_distill,4,0.011244037864495033,0.9199034981905913
spambase,confidence_drop,5,0.016526297228802167,0.9199034981905913
spambase,baseline,6,0.01897408431098254,0.9199034981905913
steel-plates-fault,projected_gd,1,0.008466369873585665,0.91994301994302
steel-plates-fault,fixed_anchor,2,0.023354023341203744,0.91994301994302
steel-plates-fault,selective_distill,3,0.026674299352548708,0.91994301994302
steel-plates-fault,confidence_drop,4,0.05083342861150688,0.91994301994302
steel-plates-fault,baseline,5,0.05460744833214761,0.91994301994302
steel-plates-fault,bcwi,6,,0.91994301994302
wdbc,projected_gd,1,0.011606480449248821,0.9495145631067963
wdbc,baseline,2,0.028355655992140027,0.9495145631067963
wdbc,confidence_drop,3,0.03739350863913566,0.9495145631067963
wdbc,fixed_anchor,4,,0.9495145631067963
wdbc,selective_distill,5,,0.9495145631067963
wdbc,bcwi,6,,0.9495145631067963
wilt,bcwi,1,0.015018441223782075,0.9198394495412844
wilt,fixed_anchor,2,0.017824210322482957,0.9198394495412844
wilt,selective_distill,3,0.03920746976034696,0.9198394495412844
wilt,confidence_drop,4,0.07298684811330994,0.9198394495412844
wilt,baseline,5,0.09579855770253144,0.9198394495412844
wilt,projected_gd,6,,0.9198394495412844
