dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
blood-transfusion,bcwi,0.03,0.012933104097569323,0.013266857302040691,0.7340740740740742,0.09811203621708711
breast-w,baseline,,0.17734089284816873,0.2568221357165394,0.8333333333333334,0.23588035053078052
breast-w,confidence_drop,0.0,0.17008214564140242,0.2936549784386614,0.8444444444444444,0.23205748441474214
breast-w,confidence_drop,0.5,0.1692488123080691,0.29417635126546576,0.846031746031746,0.2327801815378011
breast-w,confidence_drop,1.0,0.1692488123080691,0.29417635126546576,0.846031746031746,0.2327801815378011
breast-w,confidence_drop,2.0,0.1692488123080691,0.29417635126546576,0.846031746031746,0.2327801815378011
breast-w,confidence_drop,4.0,0.17009626993518775,0.29432492732519383,0.8444444444444443,0.23550026210132216
breast-w,confidence_drop,8.0,0.17009626993518775,0.29432492732519383,0.8444444444444443,0.23550026210132216
breast-w,fixed_anchor,0.0,0.2230007840297532,0.3211928061461409,0.7880952380952381,0.2852497202947787
breast-w,fixed_anchor,0.5,0.20110931557796569,0.2959269806507187,0.7984126984126984,0.27090773796909456
breast-w,fixed_anchor,1.0,0.1993272785115947,0.29477629477751893,0.8007936507936508,0.27000850715549685
breast-w,fixed_anchor,2.0,0.20299318333384359,0.2980068293769111,0.8031746031746032,0.2678315031167103
breast-w,fixed_anchor,4.0,0.2101360404767007,0.30479317824415836,0.8023809523809524,0.26777008840756245
breast-w,fixed_anchor,8.0,0.21180270714336738,0.3035340928986272,0.7992063492063493,0.2667120667660295
breast-w,selective_distill,0.0,0.10000326457210477,0.18264484028680686,0.8563492063492063,0.20124782202810604
breast-w,selective_distill,0.5,0.09286040742924763,0.16243891278370393,0.8579365079365079,0.1992908257681516
breast-w,selective_distill,1.0,0.09286040742924763,0.16243891278370393,0.8571428571428571,0.2016837942068351
breast-w,selective_distill,2.0,0.0919258279899953,0.16144326570729095,0.8579365079365079,0.20128259547102167
breast-w,selective_distill,4.0,0.09099124855074295,0.1604958705782912,0.8587301587301587,0.19817622592655704
breast-w,selective_distill,8.0,0.09014379092362432,0.16100156814922506,0.8587301587301587,0.20091194903509885
breast-w,projected_gd,0.0,0.018154823469067653,0.022882203768481525,0.85,0.23018761601864932
breast-w,projected_gd,0.005,0.018154823469067653,0.022882203768481525,0.85,0.23018761601864932
breast-w,projected_gd,0.01,0.018154823469067653,0.022882203768481525,0.85,0.23018761601864932
breast-w,projected_gd,0.015,0.018154823469067653,0.022882203768481525,0.85,0.23018761601864932
breast-w,projected_gd,0.02,0.018154823469067653,0.022882203768481525,0.85,0.23018761601864932
breast-w,projected_gd,0.025,0.020023982347572328,0.022846068681286587,0.8531746031746031,0.2314852607401242
breast-w,projected_gd,0.03,0.020023982347572328,0.022846068681286587,0.8531746031746031,0.2314852607401242
breast-w,bcwi,0.0,0.02856775135208527,0.05580836397686074,0.8134920634920635,0.2727370813129041
breast-w,bcwi,0.005,0.02856775135208527,0.05580836397686074,0.8134920634920635,0.2727370813129041
breast-w,bcwi,0.01,0.02856775135208527,0.05580836397686074,0.8134920634920635,0.2727370813129041
