dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,3,bcwi,logreg,,0.03,0.012299529723863499,0.8540280479066434,0.10298102981029811
adult,4,baseline,logreg,,,0.010392749244712991,0.8505476507319071,0.08032128514056225
adult,4,confidence_drop,logreg,0.0,,0.010876132930513595,0.8499334629951889,0.07898259705488621
adult,4,fixed_anchor,logreg,0.0,,0.010634441087613293,0.8501381922407616,0.07898259705488621
adult,4,selective_distill,logreg,0.0,,0.010634441087613293,0.8503429214863343,0.08032128514056225
adult,4,confidence_drop,logreg,0.5,,0.005558912386706949,0.8506500153546934,0.05421686746987952
adult,4,fixed_anchor,logreg,0.5,,0.005075528700906344,0.8511618384686253,0.05488621151271754
adult,4,selective_distill,logreg,0.5,,0.009305135951661632,0.8507523799774798,0.07563587684069611
adult,4,confidence_drop,logreg,1.0,,0.0056797583081571,0.8495240045040434,0.04752342704149933
adult,4,fixed_anchor,logreg,1.0,,0.004229607250755287,0.8503429214863343,0.04484605087014726
adult,4,selective_distill,logreg,1.0,,0.00785498489425982,0.8513665677141979,0.07161981258366801
adult,4,confidence_drop,logreg,2.0,,0.0073716012084592145,0.8466577950660252,0.03815261044176707
adult,4,fixed_anchor,logreg,2.0,,0.0029003021148036254,0.8496263691268298,0.03279785809906292
adult,4,selective_distill,logreg,2.0,,0.006646525679758308,0.8506500153546934,0.060240963855421686
adult,4,confidence_drop,logreg,4.0,,0.010634441087613293,0.8448152318558706,0.04417670682730924
adult,4,fixed_anchor,logreg,4.0,,0.0026586102719033233,0.8477838059166752,0.019410977242302542
adult,4,selective_distill,logreg,4.0,,0.005075528700906344,0.8498310983724024,0.04618473895582329
adult,4,confidence_drop,logreg,8.0,,0.012930513595166164,0.8436892210052206,0.049531459170013385
adult,4,fixed_anchor,logreg,8.0,,0.0018126888217522659,0.8478861705394616,0.015394912985274432
adult,4,selective_distill,logreg,8.0,,0.0033836858006042296,0.8490121813901116,0.03145917001338688
adult,4,projected_gd,logreg,,0.0,0.0012084592145015106,0.8476814412938888,0.0107095046854083
adult,4,bcwi,logreg,,0.0,0.0010876132930513595,0.8480908997850343,0.012717536813922356
adult,4,projected_gd,logreg,,0.005,0.0030211480362537764,0.8499334629951889,0.03547523427041499
adult,4,bcwi,logreg,,0.005,0.0031419939577039275,0.8497287337496161,0.03480589022757698
adult,4,projected_gd,logreg,,0.01,0.0073716012084592145,0.8510594738458389,0.06693440428380187
adult,4,bcwi,logreg,,0.01,0.007613293051359517,0.8513665677141979,0.07028112449799197
adult,4,projected_gd,logreg,,0.015,0.011722054380664653,0.8504452861091207,0.08701472556894244
adult,4,bcwi,logreg,,0.015,0.009667673716012085,0.8509571092230526,0.07898259705488621
adult,4,projected_gd,logreg,,0.02,0.011842900302114804,0.8507523799774798,0.08969210174029452
adult,4,bcwi,logreg,,0.02,0.009667673716012085,0.8509571092230526,0.07898259705488621
adult,4,projected_gd,logreg,,0.025,0.011842900302114804,0.8507523799774798,0.08969210174029452
adult,4,bcwi,logreg,,0.025,0.009667673716012085,0.8509571092230526,0.07898259705488621
adult,4,projected_gd,logreg,,0.03,0.011842900302114804,0.8507523799774798,0.08969210174029452
adult,4,bcwi,logreg,,0.03,0.009667673716012085,0.8509571092230526,0.07898259705488621
adult,5,baseline,logreg,,,0.013296264958298078,0.8501381922407616,0.09491978609625669
adult,5,confidence_drop,logreg,0.0,,0.013538015230267134,0.8497287337496161,0.09358288770053476
adult,5,fixed_anchor,logreg,0.0,,0.013900640638220718,0.8497287337496161,0.09558823529411764
